==== START logs for container token-broker-adc-init of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
==== END logs for container token-broker-adc-init of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
==== START logs for container event-exporter of pod kube-system/event-exporter-gke-cbf579745-5mr7t ====
I1001 19:12:19.631631       1 sink.go:101] Starting Stackdriver sink
W1001 23:00:30.232053       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1001 23:06:14.315215       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1001 23:13:21.747910       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1001 23:20:42.049400       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1001 23:29:59.216339       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1001 23:35:16.752609       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1001 23:44:57.298449       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1001 23:53:04.721122       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 00:02:12.174119       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 00:17:22.622827       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 00:22:37.900398       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 00:29:35.348707       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 00:36:49.860663       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 00:49:07.384030       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 01:05:40.332177       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 01:18:28.798673       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
W1002 01:35:52.048615       1 reflector.go:492] github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: watch of *v1.Event ended with: very short watch: github.com/GoogleCloudPlatform/k8s-stackdriver/event-exporter/kubernetes/watchers/watcher.go:50: Unexpected watch close - watch lasted less than a second and no items received
