==== START logs for container token-broker-adc-init of pod kube-system/gke-metrics-agent-qzbhf ====
==== END logs for container token-broker-adc-init of pod kube-system/gke-metrics-agent-qzbhf ====
==== START logs for container gke-metrics-agent of pod kube-system/gke-metrics-agent-qzbhf ====
2025/10/08 17:32:26 Log rate limiter is enabled.
2025-10-08T17:32:26.189Z	info	builder/pipelines_builder.go:52	Pipeline is starting...	{"pipeline_name": "metrics/resource_uas", "pipeline_datatype": "metrics"}
2025-10-08T17:32:26.189Z	info	builder/pipelines_builder.go:63	Pipeline is started.	{"pipeline_name": "metrics/resource_uas", "pipeline_datatype": "metrics"}
2025-10-08T17:32:26.189Z	info	service/service.go:101	Starting receivers...
2025-10-08T17:32:26.189Z	info	builder/receivers_builder.go:68	Receiver is starting...	{"kind": "receiver", "name": "prometheus/resourcemetrics"}
2025-10-08T17:32:26.205Z	info	builder/receivers_builder.go:73	Receiver started.	{"kind": "receiver", "name": "prometheus/resourcemetrics"}
2025-10-08T17:32:26.205Z	info	healthcheck/handler.go:129	Health Check state change	{"kind": "extension", "name": "health_check", "status": "ready"}
2025-10-08T17:32:26.205Z	info	service/telemetry.go:92	Setting up own telemetry...
2025-10-08T17:32:26.212Z	info	service/telemetry.go:116	Serving Prometheus metrics	{"address": "localhost:8200", "level": "basic", "service.instance.id": "424f34a5-ad9c-4ec7-b978-e7a58b9c99cc", "service.version": "latest"}
2025-10-08T17:32:26.214Z	info	service/collector.go:230	Starting otelsvc...	{"Version": "2.133.22-gke.0/1.15.6-gke.0", "NumCPU": 2}
2025-10-08T17:32:26.214Z	info	service/collector.go:132	Everything is ready. Begin running and processing data.
2025-10-08T17:53:41.425Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-08T17:53:41.432Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-08T18:14:11.436Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-08T18:14:11.436Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-09T00:05:11.434Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-09T00:05:11.434Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-09T00:25:41.432Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-09T00:25:41.432Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-09T06:16:41.423Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-09T06:16:41.424Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-09T06:37:11.430Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-09T06:37:11.430Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-09T12:27:26.576Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-09T12:27:26.577Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-09T12:47:56.440Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-09T12:47:56.440Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-09T18:36:56.440Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-09T18:36:56.441Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-09T18:57:41.427Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-09T18:57:41.427Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-10T00:47:11.420Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-10T00:47:11.421Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-10T01:07:26.562Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-10T01:07:26.564Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-10T06:58:41.428Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-10T06:58:41.429Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-10T07:19:11.425Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-10T07:19:11.425Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-10T13:09:11.428Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-10T13:09:11.429Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-10T13:29:56.430Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-10T13:29:56.430Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-10T19:23:11.434Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-10T19:23:11.435Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-10T19:43:26.572Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
2025-10-10T19:43:26.572Z	error	uasexporter/exporter.go:213	Error exporting metrics to UAS	{"kind": "exporter", "name": "uas", "error": "reading from stream failed: EOF"}
2025-10-11T01:33:56.425Z	error	uasexporter/exporter.go:257	failed to get response from UAS	{"kind": "exporter", "name": "uas", "error": "EOF"}
